SplitNumber,Transformer,Encoder,Model,Split,R2,MAE,MAPE,MSE,RMSE
0,StandardScaler,OneHotEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.25769492559292756,21932434.95981096,4683.207763895486
0,StandardScaler,OneHotEncoder,LinearRegression,Test,0.6173476540481877,3549.239805974973,0.25683905998697704,19768957.996885125,4446.229638343607
0,StandardScaler,OneHotEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,StandardScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.8577822515462596,1457.4871494062893,0.09688486745017394,7347391.765233352,2710.607268719198
0,StandardScaler,OneHotEncoder,RandomForestRegressor,Train,0.9883430403999106,443.81593924004017,0.028807076049353186,624401.8948257992,790.1910495733289
0,StandardScaler,OneHotEncoder,RandomForestRegressor,Test,0.9258277300901004,1158.183706383583,0.07725728648826777,3831960.012515079,1957.5392748333504
0,StandardScaler,OneHotEncoder,SVR,Train,0.018729690161007118,5673.724293465783,0.4321828009036239,52561479.30675424,7249.929607020626
0,StandardScaler,OneHotEncoder,SVR,Test,0.017307577029581078,5689.020847202475,0.4399118461736723,50768812.576431766,7125.223686062899
0,StandardScaler,HelmertEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.25769492559292756,21932434.95981096,4683.207763895486
0,StandardScaler,HelmertEncoder,LinearRegression,Test,0.6173476540481877,3549.239805974973,0.25683905998697704,19768957.996885125,4446.229638343607
0,StandardScaler,HelmertEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,StandardScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.8435057965793595,1497.5893317944544,0.09885058418626066,8084955.879424385,2843.405683229951
0,StandardScaler,HelmertEncoder,RandomForestRegressor,Train,0.9878090275890069,449.5590291829355,0.02901516806141572,653006.1469145662,808.0879574121657
0,StandardScaler,HelmertEncoder,RandomForestRegressor,Test,0.9289452860738787,1141.901395938248,0.07597792737627042,3670897.800435996,1915.958715744156
0,StandardScaler,HelmertEncoder,SVR,Train,0.018729690161007118,5673.724293465783,0.4321828009036239,52561479.30675424,7249.929607020626
0,StandardScaler,HelmertEncoder,SVR,Test,0.017307577029581078,5689.020847202475,0.4399118461736723,50768812.576431766,7125.223686062899
0,StandardScaler,SumEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.25769492559292756,21932434.95981096,4683.207763895486
0,StandardScaler,SumEncoder,LinearRegression,Test,0.6173476540481877,3549.239805974973,0.25683905998697704,19768957.996885125,4446.229638343607
0,StandardScaler,SumEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,StandardScaler,SumEncoder,DecisionTreeRegressor,Test,0.8470387076834205,1460.9106141808875,0.09634590821065547,7902435.186785786,2811.1270314209896
0,StandardScaler,SumEncoder,RandomForestRegressor,Train,0.9880129456238164,444.1812394540674,0.02870863707198573,642083.3324164207,801.3010248442346
0,StandardScaler,SumEncoder,RandomForestRegressor,Test,0.927482616275368,1146.0025258812925,0.07687782431895898,3746463.671430842,1935.5783816293367
0,StandardScaler,SumEncoder,SVR,Train,0.018729690161007118,5673.724293465783,0.4321828009036239,52561479.30675424,7249.929607020626
0,StandardScaler,SumEncoder,SVR,Test,0.017307577029581078,5689.020847202475,0.4399118461736723,50768812.576431766,7125.223686062899
0,MinMaxScaler,OneHotEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.2576949255929276,21932434.959810957,4683.207763895486
0,MinMaxScaler,OneHotEncoder,LinearRegression,Test,0.6173476540481878,3549.239805974973,0.25683905998697715,19768957.996885125,4446.229638343607
0,MinMaxScaler,OneHotEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,MinMaxScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.8673669538501704,1438.826009031652,0.09539800105269497,6852217.54439499,2617.674071460194
0,MinMaxScaler,OneHotEncoder,RandomForestRegressor,Train,0.9877365443921968,448.2044291545383,0.029013485109475434,656888.6897888582,810.4866993287787
0,MinMaxScaler,OneHotEncoder,RandomForestRegressor,Test,0.9281925988278358,1145.030622815917,0.07633009003235809,3709783.8616590127,1926.0799208908784
0,MinMaxScaler,OneHotEncoder,SVR,Train,0.04060265618752967,5597.751571151794,0.4258133208763149,51389859.78494374,7168.672107506643
0,MinMaxScaler,OneHotEncoder,SVR,Test,0.04036085129674949,5608.673269142664,0.4331172166312456,49577811.87958587,7041.151317759466
0,MinMaxScaler,HelmertEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.2576949255929276,21932434.959810957,4683.207763895486
0,MinMaxScaler,HelmertEncoder,LinearRegression,Test,0.6173476540481878,3549.239805974973,0.25683905998697715,19768957.996885125,4446.229638343607
0,MinMaxScaler,HelmertEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,MinMaxScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.8637707298799421,1449.7197013397843,0.0964284163473881,7038009.16795866,2652.924644229206
0,MinMaxScaler,HelmertEncoder,RandomForestRegressor,Train,0.9880451886914692,443.8667463884161,0.028707133938595378,640356.2411998356,800.2226197751695
0,MinMaxScaler,HelmertEncoder,RandomForestRegressor,Test,0.9278412038457275,1151.1170018549258,0.07659447873505859,3727937.9712969232,1930.7868787872274
0,MinMaxScaler,HelmertEncoder,SVR,Train,0.04060265618752967,5597.751571151794,0.4258133208763149,51389859.78494374,7168.672107506643
0,MinMaxScaler,HelmertEncoder,SVR,Test,0.04036085129674949,5608.673269142664,0.4331172166312456,49577811.87958587,7041.151317759466
0,MinMaxScaler,SumEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.2576949255929276,21932434.959810957,4683.207763895486
0,MinMaxScaler,SumEncoder,LinearRegression,Test,0.6173476540481878,3549.239805974973,0.25683905998697715,19768957.996885125,4446.229638343607
0,MinMaxScaler,SumEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,MinMaxScaler,SumEncoder,DecisionTreeRegressor,Test,0.8493266671303757,1458.721110911365,0.09606776082908869,7784232.398578834,2790.023727242984
0,MinMaxScaler,SumEncoder,RandomForestRegressor,Train,0.9881022896786943,443.80556735560884,0.028678087838750352,637297.6422303825,798.309239725047
0,MinMaxScaler,SumEncoder,RandomForestRegressor,Test,0.9286268765993068,1140.2074453377486,0.07589935859527447,3687347.7806731863,1920.2468020213407
0,MinMaxScaler,SumEncoder,SVR,Train,0.04060265618752967,5597.751571151794,0.4258133208763149,51389859.78494374,7168.672107506643
0,MinMaxScaler,SumEncoder,SVR,Test,0.04036085129674949,5608.673269142664,0.4331172166312456,49577811.87958587,7041.151317759466
0,RobustScaler,OneHotEncoder,LinearRegression,Train,0.5905433497612445,3616.313905169578,0.25769492559292756,21932434.95981096,4683.207763895486
0,RobustScaler,OneHotEncoder,LinearRegression,Test,0.6173476540481877,3549.2398059749735,0.25683905998697704,19768957.996885125,4446.229638343607
0,RobustScaler,OneHotEncoder,DecisionTreeRegressor,Train,0.9999817009253373,0.8597630839240288,0.00010424572357330453,980.1849954828107,31.307906277533327
0,RobustScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.846496436619896,1488.1416773973115,0.0973458137730342,7930450.5223538345,2816.105559519003
0,RobustScaler,OneHotEncoder,RandomForestRegressor,Train,0.9879179658850089,445.6804673251746,0.028813362147040097,647170.8964911035,804.4693260100745
0,RobustScaler,OneHotEncoder,RandomForestRegressor,Test,0.9272033925918582,1140.924627907593,0.07610400127907464,3760889.1971840137,1939.301213629284
0,RobustScaler,OneHotEncoder,SVR,Train,0.0011832237459172834,5735.243399500357,0.4370753989285273,53501351.044578165,7314.461774086878
0,RobustScaler,OneHotEncoder,SVR,Test,-0.0008999322522058595,5751.454223332647,0.44478648434351564,51709466.645399295,7190.929470200587
