horizon,mse,rmse,mae,mape,mdape,coverage
99 days,47315510.249700345,6878.627061390983,5683.367948249776,0.48872066727945085,0.3324339457157899,0.97236350024323
106 days,46805943.09939198,6841.486907054049,5659.9260956699545,0.4901596035030063,0.3362788555960679,0.973267659113108
113 days,46684636.55929274,6832.615645511808,5658.193255009687,0.49011613385464897,0.33775921843054596,0.974210854152837
120 days,47600961.23635395,6899.344986037004,5712.191214197804,0.48813053455273275,0.33775921843054596,0.9713749932317692
127 days,47988349.05560437,6927.362344760404,5734.3564538963465,0.4886308347578229,0.3403706638329161,0.9706087144113642
134 days,48312828.12326208,6950.742990735745,5756.700233999912,0.4899655607981464,0.34239435862095147,0.9699834535413728
141 days,48553499.29666065,6968.034105589657,5776.329916932493,0.4916153898277762,0.34587939550124336,0.969247632824661
148 days,49266853.0002976,7019.035047661295,5819.328965805991,0.4907927384570665,0.3462922989473077,0.9680805212667399
155 days,48970378.16537026,6997.8838348010795,5810.754152627952,0.4913123522109452,0.34587939550124336,0.967442452985845
162 days,48585067.54600172,6970.298956716399,5793.262573767252,0.49135934164299044,0.34354789088553395,0.9673139866391931
169 days,48399915.826283425,6957.004802807271,5784.152400710112,0.49071309906353666,0.3462922989473077,0.9670824300143634
176 days,48296655.137257144,6949.579493556221,5781.826321650727,0.49019769079221215,0.3466232366818465,0.9676765506282837
183 days,48875458.16779487,6991.0984950717775,5818.097443960617,0.48732996338768264,0.3466232366818465,0.9672241301171551
190 days,48745697.669136524,6981.811918774132,5820.6768660948455,0.488632048046917,0.3533929908659594,0.9673869598898662
197 days,48949672.27048359,6996.404238641703,5843.531556251763,0.4910590422180192,0.3651437266286098,0.9689096774826187
204 days,48929559.13067491,6994.966699754539,5850.71135500382,0.49093508058544555,0.36466010600688825,0.9700283391678679
211 days,48918086.942667425,6994.146620043608,5843.813623373898,0.48920172868948475,0.3619837630982922,0.9696381991688825
218 days,48152275.483069554,6939.184064648347,5792.359640889204,0.48879654407070483,0.36466010600688825,0.9716107109861066
225 days,47220337.951111145,6871.705607133585,5731.3601641803525,0.48744853081196926,0.3651437266286098,0.9739344119015126
232 days,46125767.608527936,6791.595365488725,5662.300204869113,0.4858106568834241,0.36565562204728314,0.9763897170645107
239 days,45408265.4742175,6738.565535350791,5611.390545397228,0.4849341695303832,0.36466010600688825,0.9781576513834691
246 days,44943370.43148902,6703.981684901072,5572.993265225852,0.48435290048526053,0.35527115024474687,0.9774843669860418
253 days,44200308.03421818,6648.3312217592,5528.354337529516,0.4862956955521101,0.35527115024474687,0.9809106137367581
260 days,43629276.66984734,6605.246147559327,5491.180846265178,0.48695332235934763,0.3502490107969746,0.9833932391025092
267 days,43466065.40931231,6592.879902539732,5476.973806513549,0.487682712224522,0.35527115024474687,0.984629248050643
274 days,43831907.29890582,6620.5669922526895,5494.4366922155805,0.4874840607152007,0.3463095563367075,0.9823740181802134
281 days,43876891.83898979,6623.96345392921,5500.058926592057,0.49146664911672483,0.3463095563367075,0.9821014812512551
288 days,43998302.70978372,6633.121641413168,5520.317389534925,0.49871745922005833,0.3502490107969746,0.9843740207382847
295 days,49237524.39435943,7016.945517414214,5739.129849424927,0.49802808274978194,0.35825374542048644,0.9733573450970511
302 days,50268451.98219338,7090.024822396137,5799.405258373357,0.5045705728624488,0.35825374542048644,0.9713818659169814
309 days,52556563.17420587,7249.590552176438,5921.866304434447,0.5127904493494866,0.3609288649111277,0.9649969026018571
316 days,56373928.66734821,7508.257365550825,6120.244122050424,0.5232708075597297,0.36363584526270354,0.9524333270660583
323 days,68928663.66199727,8302.328809556826,6575.266367942384,0.5283833273101344,0.3687048268614838,0.9341370282116906
330 days,70169925.17539954,8376.749081558999,6675.751766810993,0.5463054729641006,0.37423993357094115,0.9342473322512693
337 days,70122937.58655392,8373.943968438882,6668.862553663916,0.5445601656867718,0.37439742505825324,0.9342369805889276
344 days,69687605.13210061,8347.910225445685,6628.7142586447435,0.5398466997167166,0.37251811945145885,0.9348177821776604
351 days,69307536.26614685,8325.114789968175,6594.669729250745,0.5352575213245474,0.3692635166304507,0.9353869530683427
358 days,68909778.90727293,8301.191414927916,6582.1930471786845,0.5362915978332676,0.3690507647437898,0.9357255052937156
365 days,69566145.38748379,8340.632193514099,6622.076230612759,0.5361227247850131,0.3651249369177806,0.9333978990559436
372 days,69985176.58360635,8365.714349869135,6643.010720172205,0.5363387829146624,0.3690507647437898,0.9325317531273488
379 days,70496075.75654769,8396.19412332443,6664.016740903091,0.533819167901602,0.3651249369177806,0.9306320440227036
386 days,70001279.47368921,8366.676728169268,6626.3958279012895,0.5292674274206104,0.36080759616532976,0.9304278928696744
393 days,66214141.3098015,8137.207218069446,6460.9244724860155,0.5260704408650974,0.35539669746654345,0.9359149901706105
400 days,63561103.0453223,7972.521749441785,6324.52808441912,0.520311269745502,0.3486442870638509,0.9413171253928239
407 days,61580781.79283333,7847.342339469671,6212.131114462404,0.5125927471354474,0.3471728709221513,0.9463293082079556
414 days,57811331.56284554,7603.376326530572,6018.613266793031,0.5045664778427994,0.3469266491588557,0.95881143474978
421 days,47818368.94704751,6915.082714403893,5650.507035333505,0.5006929137955938,0.34349791513229794,0.9766839976005288
428 days,43783172.95761919,6616.885442382933,5482.6318691559845,0.4880021624249261,0.33049240252562206,0.9811721168509969
435 days,43958510.646612525,6630.1214654493715,5496.648207582266,0.4860791392960234,0.32995401545955827,0.9812377058021747
442 days,45601881.307162926,6752.916503790264,5598.252891751295,0.49184164308147815,0.33049240252562206,0.9762823803877779
449 days,46067501.25347278,6787.304417327455,5647.998858615896,0.4988719867296729,0.3350239283809329,0.9767656000787884
456 days,46961262.738668896,6852.828812882231,5697.6139164144615,0.4986266239857301,0.3350239283809329,0.973546983458231
463 days,46840795.07952223,6844.033538749079,5690.148232326953,0.4984369300944791,0.32995401545955827,0.9747563543559906
470 days,46318819.02079525,6805.793048631089,5671.643349871802,0.5012617537175168,0.33518007631858565,0.9777850768082259
477 days,45664702.01357503,6757.5662788888,5644.623736144414,0.5041347770735544,0.33518007631858565,0.9810142156292192
484 days,45988382.378732935,6781.473466639307,5669.032152652026,0.5029654647992429,0.3356646220586987,0.9797080302551632
491 days,46109333.70457536,6790.385387043607,5678.513467927045,0.5024980800790422,0.3350239283809329,0.9785068963473724
498 days,46406930.10426061,6812.263214546294,5701.684900575169,0.5033267682066425,0.33273756927949716,0.9782782218163414
505 days,46384385.34622599,6810.608294875428,5706.7898863386,0.5044554161826065,0.3403944269113928,0.9791798396686103
