n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,Split,R2,MAE,MAPE,MSE,RMSE
100,3,auto,3,2,Test,0.6791187647936278,3132.281069742797,0.22139329110648004,17063441.221114147,4128.289603581425
100,3,auto,3,2,Train,0.6827286870480714,3113.852334581884,0.22017614543544686,16872602.94439783,4107.563113681684
100,3,auto,3,5,Test,0.6805001692038974,3118.9488368607945,0.2207300021213559,16987898.26082275,4119.3081917170875
100,3,auto,3,5,Train,0.6840518085449663,3104.6717364768456,0.21975320234612217,16802628.970606364,4099.015469309434
100,3,auto,3,10,Test,0.6799090034669681,3128.8493205835393,0.22122175435912023,17022272.73240901,4123.145473508376
100,3,auto,3,10,Train,0.6837231769399633,3109.6316561626504,0.21996674161770927,16819510.133242585,4101.110667062207
100,3,auto,5,2,Test,0.6782411508372262,3135.425924813838,0.22151758942281993,17107036.295846295,4133.741562624221
100,3,auto,5,2,Train,0.6819406599115282,3116.391797261165,0.22027076037981286,16915155.95951008,4112.721315661942
100,3,auto,5,5,Test,0.6786367516806224,3130.850285661662,0.22117692208822598,17086002.66924995,4131.105716598111
100,3,auto,5,5,Train,0.6821964993708501,3114.5897590365194,0.22011522556886387,16901572.965481628,4111.062289408618
100,3,auto,5,10,Test,0.6787406727719466,3133.7217546494007,0.22132928657730008,17082584.49336659,4130.562896698611
100,3,auto,5,10,Train,0.6826760599043921,3113.761403628686,0.22006628537475179,16875643.668684162,4107.941736507682
100,3,auto,10,2,Test,0.6775745022320778,3136.9722399507527,0.221529837176426,17143304.12407295,4138.131818776406
100,3,auto,10,2,Train,0.6813803088829694,3118.0124039791976,0.22026878000502284,16944742.284680136,4116.310293230468
100,3,auto,10,5,Test,0.6783686764933259,3130.5144761651036,0.22113143116996947,17100815.6033682,4133.039038431739
100,3,auto,10,5,Train,0.6822148395257388,3111.2825499281234,0.2198710150432162,16900302.2490701,4110.907135427805
100,3,auto,10,10,Test,0.6784477770381653,3130.4279175058523,0.22129079205972974,17097695.52943062,4132.588885924382
100,3,auto,10,10,Train,0.6824363869799454,3111.021881244694,0.22001488947202236,16888140.040296376,4109.436620297556
100,3,auto,15,2,Test,0.67758391223045,3136.447382272674,0.22148713463488484,17143305.457001697,4138.157498872798
100,3,auto,15,2,Train,0.6811857981963699,3118.6414182323574,0.22029854446700203,16954926.40642629,4117.549106158721
100,3,auto,15,5,Test,0.6773872306993244,3137.804851037873,0.2215700392677576,17153416.4378018,4139.375453847293
100,3,auto,15,5,Train,0.6808728512758726,3120.762848504116,0.22044140943795276,16971479.56217151,4119.558913709032
100,3,auto,15,10,Test,0.6785840050951916,3128.4882545280293,0.22109653515441713,17089318.488751717,4131.678710746683
100,3,auto,15,10,Train,0.6819389433624797,3113.011007367799,0.22002444224070614,16914935.428422295,4112.6834412287635
100,3,log2,3,2,Test,0.5934557061068823,3499.5482181234825,0.2843187183008841,21603968.06585703,4646.238468434994
100,3,log2,3,2,Train,0.5969195969068054,3482.6430259891204,0.28282893187493335,21442279.090540163,4629.848496981631
100,3,log2,3,5,Test,0.5870983088084891,3529.4640336171933,0.28744477559061865,21965795.94387271,4682.141682274487
100,3,log2,3,5,Train,0.5910618798081572,3509.869995809486,0.2858760141270757,21747666.39858462,4662.8513632836575
100,3,log2,3,10,Test,0.5879165429536044,3522.2093166399054,0.2871677785897798,21915112.196890302,4678.890111061417
100,3,log2,3,10,Train,0.5918116000582938,3505.3257011188643,0.28575915707198235,21709759.037319563,4659.0918003788365
100,3,log2,5,2,Test,0.5989242868889979,3473.1932639279767,0.28110848894099966,21337275.649264835,4616.336745148796
100,3,log2,5,2,Train,0.6032632978132366,3452.8016079192494,0.27956232644341383,21098467.936386146,4592.66863632928
100,3,log2,5,5,Test,0.5877961229898693,3530.068038428307,0.2877781781204183,21927742.433128227,4679.530658304616
100,3,log2,5,5,Train,0.5923002516840823,3510.145665834938,0.2860228354333868,21682945.51398493,4656.362569013827
100,3,log2,5,10,Test,0.5839369096984022,3532.704439330316,0.2885635275402082,22128496.70349472,4701.5502253868135
100,3,log2,5,10,Train,0.5882161171595104,3516.4829530025722,0.2870867851458857,21900657.690901667,4679.616721914245
100,3,log2,10,2,Test,0.5741425841862926,3584.775434963301,0.2940976014613176,22654257.693214428,4755.386208832859
100,3,log2,10,2,Train,0.577223254960969,3571.0836130602156,0.2928553914544606,22484018.96249107,4741.222077166414
100,3,log2,10,5,Test,0.5952686866192447,3484.9577616083347,0.28350011781558904,21544447.685898013,4637.396176013226
100,3,log2,10,5,Train,0.5992787904254783,3469.5482570791405,0.2820217531352049,21307224.62026284,4615.798453047011
100,3,log2,10,10,Test,0.5910788350901731,3511.571870106739,0.28576523827164346,21749611.47944928,4660.071081974549
100,3,log2,10,10,Train,0.5946972284842739,3493.1260804437343,0.28412509772318184,21555552.69011765,4642.496414685067
100,3,log2,15,2,Test,0.5894364148693672,3516.490377060602,0.286637637706921,21828795.129265774,4669.467715502379
100,3,log2,15,2,Train,0.5932981242497971,3501.4582490990565,0.28516477854273437,21632365.837873973,4650.346728106293
100,3,log2,15,5,Test,0.5818892612227252,3558.9728397265003,0.29079433157863455,22236409.9171027,4712.717314447889
100,3,log2,15,5,Train,0.5860529554015566,3544.482792658547,0.28962524345665275,22015796.849069405,4691.876834630557
100,3,log2,15,10,Test,0.5860113752764683,3540.7554084729795,0.28833061640707697,21992392.368561395,4687.951960520449
100,3,log2,15,10,Train,0.589299567855242,3524.9352131194673,0.28706119742641156,21849224.225292917,4672.426959248168
100,3,sqrt,3,2,Test,0.5804685301304813,3558.2158296631087,0.2910026451624991,22279122.56828395,4718.678540682319
100,3,sqrt,3,2,Train,0.5834822231782679,3541.909402344519,0.28964734827674776,22160693.78205537,4705.770540041357
100,3,sqrt,3,5,Test,0.5878428401887057,3524.420755514572,0.2869848421184435,21946157.785832524,4679.205245411524
100,3,sqrt,3,5,Train,0.5921650760302994,3510.117117850526,0.2857207389181654,21684651.60865232,4656.515077861437
100,3,sqrt,3,10,Test,0.5902740017900892,3515.0776937539645,0.286500793982427,21795491.35359438,4665.4776905143435
100,3,sqrt,3,10,Train,0.5947466935374502,3498.9232321272525,0.2852068982410835,21552233.710370123,4642.179050126489
100,3,sqrt,5,2,Test,0.5731343266186884,3595.3204266195994,0.2943098996404777,22695592.74041761,4761.381039992969
100,3,sqrt,5,2,Train,0.5768895798108286,3582.0858662338323,0.29325148341182217,22504754.17762645,4741.6966046354
100,3,sqrt,5,5,Test,0.5959037783598089,3492.242680040432,0.28328158673662485,21498997.216710858,4633.086158349555
100,3,sqrt,5,5,Train,0.6001063948845575,3469.2084864941908,0.2813163600531,21266311.270532425,4611.336841713441
100,3,sqrt,5,10,Test,0.5872552351958156,3528.3847584036494,0.28747252137485285,21960076.667631056,4683.005606773405
100,3,sqrt,5,10,Train,0.5905704412507513,3510.1046941513937,0.28597541070522403,21772935.647206374,4665.845267439704
