split_index,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split,Split,R2,MAE,MAPE,MSE,RMSE
0,100,3,auto,3,2,Train,0.6805839542782308,3125.071690057844,0.2205334387025368,17109434.28035113,4136.355192721138
0,100,3,auto,3,2,Test,0.6980635735490907,3104.630513553499,0.22171791999317375,15598933.589157455,3949.548529788874
0,100,3,auto,3,5,Train,0.6804898908325512,3120.3135999912865,0.22014116446833146,17114472.76343172,4136.964196537326
0,100,3,auto,3,5,Test,0.698404815155546,3098.647280822286,0.22134481815146995,15581304.03309652,3947.3160543711874
0,100,3,auto,3,10,Train,0.6811004847504436,3121.730816337934,0.22033323374986177,17081766.465015948,4133.009371513202
0,100,3,auto,3,10,Test,0.6986298150282311,3101.4650475036797,0.22158993806600172,15569679.870643385,3945.843366207456
0,100,3,auto,5,2,Train,0.6788608070754535,3134.48743403683,0.22082341328082142,17201734.195199393,4147.497341192565
0,100,3,auto,5,2,Test,0.69682048300138,3112.9295438358904,0.2220770631365412,15663155.3431438,3957.670443978857
0,100,3,auto,5,5,Train,0.6785103902741821,3131.153686065242,0.22066635994934528,17220504.176583815,4149.759532380619
0,100,3,auto,5,5,Test,0.6965992476629604,3107.181317049081,0.22169559921375778,15674585.018563053,3959.1141709431736
0,100,3,auto,5,10,Train,0.6802623986854167,3121.8258553512887,0.2203801423659199,17126658.318894025,4138.436699877627
0,100,3,auto,5,10,Test,0.6981818957631051,3099.490831581459,0.2214912260015614,15592820.711753994,3948.7745835580427
0,100,3,auto,10,2,Train,0.6768373498453346,3140.313965858455,0.22111758842269938,17310120.135610092,4160.54325005883
0,100,3,auto,10,2,Test,0.6954342675084328,3115.5660761549725,0.2221742287797104,15734771.357378706,3966.70787396535
0,100,3,auto,10,5,Train,0.6777700889788718,3131.0076302208577,0.22059897881540372,17260158.21566363,4154.53465693375
0,100,3,auto,10,5,Test,0.6960530173606391,3107.7333747113216,0.2216892185158297,15702804.900180025,3962.6764818970555
0,100,3,auto,10,10,Train,0.6778667957680847,3132.3735238986947,0.22087114731435714,17254978.1426001,4153.9111861714255
0,100,3,auto,10,10,Test,0.6962192824502493,3107.6789989369854,0.22197395524221153,15694215.151266612,3961.5925019197284
0,100,3,auto,15,2,Train,0.6765793307454363,3137.9459230522966,0.22076677850427767,17323940.859058127,4162.20384640855
0,100,3,auto,15,2,Test,0.6946401342325095,3111.815181259209,0.22170575405905762,15775798.643743845,3971.875960266615
0,100,3,auto,15,5,Train,0.6770082214398072,3137.592057486362,0.22081361611326514,17300967.444769524,4159.443165228914
0,100,3,auto,15,5,Test,0.6954698769368048,3111.4251266177675,0.2217559054537668,15732931.668425467,3966.475976030293
0,100,3,auto,15,10,Train,0.6777036795653617,3135.378725628823,0.22089510178420046,17263715.417974748,4154.962745678323
0,100,3,auto,15,10,Test,0.6962472261672744,3109.9126381240435,0.2219509349807362,15692771.495755311,3961.410291266901
0,100,3,sqrt,3,2,Train,0.5862864849715692,3529.6807699184856,0.2893170146454781,22160452.773364164,4707.489009372636
0,100,3,sqrt,3,2,Test,0.604784194066144,3464.5045106751772,0.29006905074897305,20418023.69662043,4518.630732491916
0,100,3,sqrt,3,5,Train,0.5990485201171477,3482.286819244528,0.2818107745125803,21476857.8051984,4634.313088818924
0,100,3,sqrt,3,5,Test,0.6177099273837936,3414.4314303383107,0.28221738890649384,19750241.879159074,4444.12442210601
0,100,3,sqrt,3,10,Train,0.5830085542198145,3555.4958815870746,0.2900885979203261,22336034.249385383,4726.101379507784
0,100,3,sqrt,3,10,Test,0.6020206040934837,3475.659034912139,0.28942585379305313,20560798.97205809,4534.401721512783
0,100,3,sqrt,5,2,Train,0.5516653566501288,3711.0859361828875,0.30548479003452006,24014924.167839002,4900.502440346194
0,100,3,sqrt,5,2,Test,0.5711141554140766,3626.496122577043,0.30460471522460636,22157518.01021349,4707.177286890042
0,100,3,sqrt,5,5,Train,0.6113915847422615,3394.3965348425713,0.2724375751786957,20815704.879883356,4562.423136874018
0,100,3,sqrt,5,5,Test,0.6307245304462432,3347.7115772000834,0.274720823809457,19077868.786429893,4367.821972840685
0,100,3,sqrt,5,10,Train,0.5952588428168673,3484.4857513129127,0.28163088627491195,21679850.846973658,4656.162674023928
0,100,3,sqrt,5,10,Test,0.6141556757144384,3425.7848801354617,0.2829585619709034,19933865.0888563,4464.735724413742
0,100,3,sqrt,10,2,Train,0.5716222216096446,3615.30606918897,0.295522122178448,22945940.08253697,4790.192071570509
0,100,3,sqrt,10,2,Test,0.589728145953497,3537.3373424390907,0.2954880255646074,21195863.910817064,4603.896600795577
0,100,3,sqrt,10,5,Train,0.5869104868300892,3538.8038250658083,0.2864029935997702,22127028.282227412,4703.93752958385
0,100,3,sqrt,10,5,Test,0.6076823536188141,3460.025360330668,0.28588060088230693,20268296.156540956,4502.032447299881
0,100,3,sqrt,10,10,Train,0.5951853767838075,3474.2268897335375,0.28159347298255066,21683786.035206407,4656.5852333234925
0,100,3,sqrt,10,10,Test,0.6144374621698704,3414.370871087016,0.28282712098801716,19919307.162685297,4463.1051032532605
0,100,3,sqrt,15,2,Train,0.5953237509295742,3482.628460333466,0.28265446790576937,21676374.061434876,4655.789305953919
0,100,3,sqrt,15,2,Test,0.613788313432398,3414.955861407053,0.28288510958848695,19952844.116686974,4466.860655615638
0,100,3,sqrt,15,5,Train,0.5715829387224203,3602.1734513766373,0.2944618943823301,22948044.25978889,4790.411700447979
0,100,3,sqrt,15,5,Test,0.5908613178470021,3529.314010630319,0.29501976400054164,21137320.88134672,4597.534217528644
0,100,3,sqrt,15,10,Train,0.5643078401596724,3647.1442003707734,0.29929937832280507,23337732.950791083,4830.914297603621
0,100,3,sqrt,15,10,Test,0.5832873353620144,3562.11874038065,0.29882528403784103,21528615.337525807,4639.8938929167125
0,100,3,log2,3,2,Train,0.5986332135468313,3476.026497649767,0.28137231983638394,21499103.589548312,4636.712584315348
0,100,3,log2,3,2,Test,0.6170856125801925,3419.6830233778073,0.28249149424956865,19782495.83829403,4447.751773457466
0,100,3,log2,3,5,Train,0.6150830484174725,3388.5256769805924,0.27074578035237534,20617972.624427598,4540.701776645059
0,100,3,log2,3,5,Test,0.6356168749164594,3334.7554894647296,0.27245731213139684,18825115.723862294,4338.79196595807
0,100,3,log2,3,10,Train,0.5919036389280075,3489.2318422364283,0.28320873046801665,21859571.437728293,4675.422059849602
0,100,3,log2,3,10,Test,0.6114635502498045,3426.218488294312,0.2844272479500145,20072948.295311786,4480.284398931812
0,100,3,log2,5,2,Train,0.603575532152187,3440.604555865026,0.27794450516634367,21234369.627358615,4608.076564832513
0,100,3,log2,5,2,Test,0.6220556821626796,3392.70799065384,0.280106172319484,19525727.26531328,4418.792512136463
0,100,3,log2,5,5,Train,0.5960225564256392,3483.3041254995087,0.28308557155451736,21638942.73364214,4651.767699879492
0,100,3,log2,5,5,Test,0.6150038552935309,3418.859857506516,0.2839163191625802,19890045.609764412,4459.825737600564
