P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
1,1,0,6.127212213491499,46102.47183724774,37.54272950915936,3.343189515983654,0.014683631309262264,0.9965360009359587,-4458.0891181036695,-4473.428544429791
1,1,1,6.1622461792295775,46631.18535137146,37.9732779734295,3.36424451565075,0.014779969738527183,0.9964962750157405,-4474.091956989921,-4494.544525424749
1,1,2,6.151366722157341,46466.675811970716,37.83931255046475,3.374743451075127,0.01482040045148778,0.9965086357605726,-4471.7520522460945,-4497.31776278963
1,2,0,6.14378603355662,46352.21918248198,37.7461068261254,3.377302508421182,0.014834368606736547,0.9965172356824774,-4470.723513449956,-4501.402366102198
1,2,1,6.162253891316252,46631.30206983993,37.97337302104228,3.389413353020438,0.014883277374428155,0.9964962662458708,-4480.095030686179,-4515.8870254471285
1,2,2,6.178975069570737,46884.712013942575,38.179732910376664,3.403404458054403,0.014941280231088497,0.9964772257958862,-4488.750322319305,-4529.655459188962
1,3,0,6.156371300448087,46542.314519268504,37.9009075889809,3.3718176317958286,0.014813445787066552,0.9965029524988982,-4471.749372133294,-4492.201940568122
1,3,1,6.145072080030984,46371.62654685733,37.76191086877633,3.355812643047342,0.014742198097730867,0.9965157774723349,-4469.237561235905,-4494.80327177944
1,3,2,6.248105404508323,47939.672367099025,39.03882114584612,3.4169423398647543,0.014995407401825438,0.9963979592938895,-4512.075461856486,-4542.754314508728
1,4,0,6.163761341804606,46654.1193630742,37.99195387872494,3.3903693444886303,0.014900161101417904,0.9964945518240783,-4480.695759850932,-4516.487754611881
1,4,1,6.1609633667062,46611.77267604003,37.9574696058958,3.3848498268851186,0.014874262111230309,0.9964977336249321,-4481.580631177105,-4522.485768046761
1,4,2,6.179041140020567,46885.71467556187,38.18054941006664,3.3995065300533387,0.01494822197726355,0.9964771504589514,-4490.776583658024,-4536.794862636388
1,5,0,6.201817917834844,47232.00585678015,38.46254548597731,3.441181517887457,0.015116602740100347,0.996451131196213,-4507.81308575506,-4574.283933168252
1,5,1,6.17047926431177,46755.87202339827,38.07481435130151,3.379816655604796,0.014845385289376704,0.9964869064396535,-4479.371112122058,-4504.936822665593
1,5,2,6.153679594667557,46501.62469610063,37.86777255382784,3.3667993125098215,0.01479153372826028,0.9965060098080566,-4474.675318165739,-4505.354170817981
1,6,0,6.105730803128665,45779.77693025674,37.279948640274206,3.362821371857356,0.014784890566602354,0.9965602472466497,-4457.463491709631,-4493.255486470581
1,6,1,6.214515324919146,47425.60648864824,38.620200723654904,3.4173084935522127,0.015009472085443861,0.9964365846354568,-4502.836282549194,-4543.7414194188505
1,6,2,6.164615494648265,46667.050593740976,38.0024841968575,3.383659068144881,0.014864155534593797,0.9964935802108623,-4485.036080302718,-4531.054359281082
2,1,0,6.165898142019879,46686.472274454434,38.01829989776423,3.3891703247659355,0.01489236843524111,0.9964921209250338,-4487.547037437006,-4538.678458524077
2,1,1,6.2069330119494674,47309.949385408894,38.52601741482806,3.4447365505564016,0.015131579474679106,0.9964452747572964,-4505.837894203252,-4562.08245739903
