P,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
1,5.713034721875422,40134.01321577912,32.682421185487904,3.4654616522496795,0.015140773514120881,0.9969844527055621,-4284.53417690814,-4299.873603234263
2,6.013954472644888,44413.944073703955,36.167706900410344,3.580572960084539,0.015750302744163554,0.9966628717600045,-4418.264667654427,-4448.94352030667
3,6.061470903356914,45119.239233193824,36.742051492828836,3.5470334952608678,0.015611003312006017,0.996609878033747,-4443.574511127712,-4489.592790106072
4,6.025592618670279,44612.17976221609,36.329136614182495,3.730104694845632,0.014803675370987607,0.9960473909459691,-4420.95137279756,-4448.221464044001
5,6.40746013464822,50417.871275012105,41.05689843242025,4.017381619129655,0.015175370978232435,0.9951820159162227,-4571.888442908172,-4597.454153451708
6,6.427807434088687,50737.20292237573,41.316940490534,3.9552060342978526,0.014963392048708644,0.9951515002527174,-4585.7089613236685,-4626.614098193327
7,6.827753792924651,57549.35252948039,46.86429359078211,4.2714499087139055,0.015213569804750632,0.9942567540245796,-4727.01465221778,-4766.2154083845335
8,8.214096290639208,82894.3368599365,67.5035316448994,5.29925479709071,0.01705949995795263,0.9912077062340481,-5179.380590502882,-5199.833158937709
9,8.372048414082165,86072.16835145275,70.09134230574324,5.263411893841278,0.01697736253821129,0.9908706454760947,-5232.74834401458,-5268.540338775531
10,8.510282943027711,88937.8847776697,72.42498760396559,5.270603442415476,0.01696055059051776,0.9905666896013787,-5278.970649977912,-5330.102071064981
