P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
1,1,6.146941704959473,46400.11100019664,37.78510667768453,3.360725827569844,0.014761333833092409,0.9965136372374239,-4467.977709113228,-4488.430277548056
1,2,6.161671664814537,46622.744422088166,37.966404252514785,3.3900401064986743,0.014886308737417734,0.9964969092414114,-4479.85628881848,-4515.6482835794295
1,3,6.183182928329131,46951.20447774162,38.233879867867785,3.3815242049026413,0.014850350428874287,0.9964722297550409,-4484.354131741895,-4509.919842285431
1,4,6.167921949510458,46717.20223822537,38.04332429822913,3.391575233809029,0.014907548396637256,0.9964898119693206,-4484.350991562021,-4525.256128431676
1,5,6.175325592271391,46829.83419209302,38.13504413036889,3.3959324953340246,0.014917840585912443,0.9964813491479744,-4487.286505347619,-4528.191642217275
1,6,6.161620540898692,46624.14467088199,37.9675445202622,3.38792964451815,0.014886172728880003,0.9964968040309895,-4481.778618187181,-4522.683755056838
2,1,6.190619346828218,47061.97500968786,38.32408388411065,3.424187399415464,0.015042610161345617,0.9964639067952582,-4499.364161386779,-4555.608724582557
2,2,6.163293266112322,46651.44779565432,37.989778335223384,3.4210082046593455,0.015018255762485375,0.9964947525575026,-4488.392875786253,-4544.637438982032
2,3,6.171530877987229,46771.818985936865,38.087800477147304,3.383329384040053,0.014865740757253368,0.9964857082335464,-4485.789415211751,-4526.694552081407
2,4,6.195856502552647,47142.21093254549,38.3894225835061,3.406422878883326,0.014965520155415454,0.9964578781128339,-4501.426092295293,-4557.670655491071
2,5,6.231522963126896,47685.57697429814,38.831903073532686,3.4534943956641464,0.015167671178286416,0.996417051246398,-4521.547806048952,-4593.131795570852
2,6,6.175344813238067,46830.03425355305,38.1352070468673,3.3921471121941007,0.014896466995891403,0.9964813341159667,-4487.296524438039,-4528.201661307696
2,7,6.156208956209498,46539.85989896723,37.898908712514036,3.391755854633287,0.014916106563547736,0.996503136931578,-4483.684606269162,-4534.816027356233
2,10,6.2504730332170855,47980.0512537524,39.07170297536841,3.4396879330174603,0.015110289595766496,0.9963949253475521,-4523.902540435367,-4582.703674685497
3,1,6.187845834395063,47022.50176427753,38.29193954745728,3.4267410975012456,0.015055723242967042,0.996466872694476,-4504.193466513212,-4575.777456035111
3,2,6.212574325316325,47396.26426591689,38.59630640546978,3.4363209910304477,0.01509759650975412,0.9964387893205426,-4510.0618612907465,-4571.419566595231
3,3,6.240199798885036,47818.655710369436,38.94027337977969,3.4548166369102753,0.015175334125808751,0.996407052116225,-4524.960295450973,-4596.544284972872
